,우대,요건,업무
0,-,-,-
1,-,-,-
2,-,-,-
3,-,-,-
4,-,-,-
5,"공통 자격요건ㆍ학력 : 대졸 이상 (2,3년)ㆍ전공 : 무관총무 담당자 0명담당업무ㆍ담당 업무ㆍ법인 부동산 및 시설물 관리ㆍ총무/전산 유형
자산관리ㆍ사내 비품/소모품
운영 및 지원ㆍ사무실 출입&보안, 사내 환경 관리ㆍ기타 총무 업무 (복리 후생
등) 전반 ㆍ사내 행사 지원 업무자격 요건ㆍ경력 : 3년 이상우대 사항ㆍ책임감이 강하고 긍정적인 성격의 소유자ㆍ운전가능자ㆍ지원부서 업무 유경험자
            ㆍ기타 필수 사항
        우대사항","공통 자격요건ㆍ학력 : 대졸 이상 (2,3년)ㆍ전공 : 무관총무 담당자 0명담당업무ㆍ담당 업무ㆍ법인 부동산 및 시설물 관리ㆍ총무/전산 유형
자산관리ㆍ사내 비품/소모품
운영 및 지원ㆍ사무실 출입&보안, 사내 환경 관리ㆍ기타 총무 업무 (복리 후생
등) 전반 ㆍ사내 행사 지원 업무자격 요건ㆍ경력 : 3년 이상우대 사항ㆍ책임감이 강하고 긍정적인 성격의 소유자ㆍ운전가능자ㆍ지원부서 업무 유경험자
            ㆍ기타 필수 사항
        우대사항","공통 자격요건ㆍ학력 : 대졸 이상 (2,3년)ㆍ전공 : 무관총무 담당자 0명담당업무ㆍ담당 업무ㆍ법인 부동산 및 시설물 관리ㆍ총무/전산 유형
자산관리ㆍ사내 비품/소모품
운영 및 지원ㆍ사무실 출입&보안, 사내 환경 관리ㆍ기타 총무 업무 (복리 후생
등) 전반 ㆍ사내 행사 지원 업무자격 요건ㆍ경력 : 3년 이상우대 사항ㆍ책임감이 강하고 긍정적인 성격의 소유자ㆍ운전가능자ㆍ지원부서 업무 유경험자
            ㆍ기타 필수 사항
        우대사항"
6,-,-,-
7,-,-,-
8,-,-,-
9,-,-,-
